NUMR_CIBLE,ID_CIBLE,FUS,ESTN,NORD,TYPE,NATUR,DIAME,DESCR1,DESCR2,DESCR3,DESCR4,DESCR_ANG1,DESCR_ANG2,DESCR_ANG3,DESCR_ANG4,NOM_OBSER,NOM_PROJE,METH_EVAL,CODE_TYPOL,SPEC_MAX_U,SPEC_MOY_U,SPEC_U_TH,KEATI_AMPL,KEATI_COEF,NOTE_CENT1,NOTE_CENT2,VAL_CENTI,MESUR_MAX,VAL_RESID,VAL_NIVEL,CODE_SYMBL,DATE_PREM,NUMR_INTER,AN_DIFFU,NUMR_ECHN1,TYPE_ECHN1,ELEM_CHIM1,CENT_ECHN1,IND_ECHN1,TENR_ECHN1,UNIT_ECHN1,NUMR_ECHN2,TYPE_ECHN2,ELEM_CHIM2,CENT_ECHN2,IND_ECHN2,TENR_ECHN2,UNIT_ECHN2,NUMR_ECHN3,TYPE_ECHN3,ELEM_CHIM3,CENT_ECHN3,IND_ECHN3,TENR_ECHN3,UNIT_ECHN3,NUMR_ECHN4,TYPE_ECHN4,ELEM_CHIM4,CENT_ECHN4,IND_ECHN4,TENR_ECHN4,UNIT_ECHN4,NUMR_ECHN5,TYPE_ECHN5,ELEM_CHIM5,CENT_ECHN5,IND_ECHN5,TENR_ECHN5,UNIT_ECHN5,NUMR_SUBS1,MINR_SUBS1,AUTR_SUBS1,IND_SUBS1,TENR_SUBS1,UNIT_SUBS1,NUMR_SUBS2,MINR_SUBS2,AUTR_SUBS2,IND_SUBS2,TENR_SUBS2,UNIT_SUBS2,NUMR_SUBS3,MINR_SUBS3,AUTR_SUBS3,IND_SUBS3,TENR_SUBS3,UNIT_SUBS3,NUMR_SUBS4,MINR_SUBS4,AUTR_SUBS4,IND_SUBS4,TENR_SUBS4,UNIT_SUBS4,NUMR_SUBS5,MINR_SUBS5,AUTR_SUBS5,IND_SUBS5,TENR_SUBS5,UNIT_SUBS5,NUMR_RAPR1,NUMR_RAPR2,NUMR_RAPR3,Coord_X,Coord_Y,MOTS_CLES_TROUVES
242281,PR-6073,18,457619,5833923,Cartographique,Minéral,Ponctuelle,Minéraux uranifères présents dans les pegmatites blanches de la Suite intrusive de Janin.,,,,Uranium minerals found in white pegmatites from the Janin Intrusive Suite.,,,,Daniel Bandyayera Émilie Bédard Pierre Rhéaume Geneviève Robert,Cartographie - Région du réservoir Opinaca,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20081125,242281,,2008035297,Roches,Uranium,0,O,622.4000244,ppm,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2008-05,PRO 2008-06,,-75.626513,52.653611,pegmatite
242282,EB-5104,18,466416,5872074,Cartographique,Minéral,Ponctuelle,Minéraux uranifères présents dans les pegmatites blanches de la Suite de Janin à l'ouest du projet Upinor de Dios Exploration.,,,,"Uranium minerals found in white pegmatites from the Janin Intrusive Suite, west of the Upinor project of Dios Expl.",,,,Daniel Bandyayera Émilie Bédard Pierre Rhéaume Geneviève Robert,Cartographie - Région du réservoir Opinaca,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20081125,242282,,0,,Uranium,0,O,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2008-05,PRO 2008-06,,-75.500398,52.99718,pegmatite
242522,FS-3292,18,438239,5829119,Cartographique,Minéral,Ponctuelle,Cristaux d'émeraude dans une pegmatite blanche à tourmaline.,,,,Emerald crystal in a white tourmaline pegmatite.,,,,Daniel Bandyayera Émilie Bédard Pierre Rhéaume Geneviève Robert,Cartographie - Région du réservoir Opinaca,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20081125,242522,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,1,Émeraude,,N,0,,2,,Pierre gemmes,O,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2008-05,PRO 2008-06,,-75.912073,52.608568,pegmatite
242523,CM-2150,18,459963,5844495,Cartographique,Minéral,Ponctuelle,Cristaux d'émeraude dans une pegmatite à proximité d'une traînée de blocs ultramafiques.,,,,Emerald crystals in a pegmatite near an ultramafic boulder dispersion train.,,,,Daniel Bandyayera Émilie Bédard Pierre Rhéaume Geneviève Robert,Cartographie - Région du réservoir Opinaca,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20081125,242523,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,1,Émeraude,,N,0,,2,,Pierre gemmes,O,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2008-05,PRO 2008-06,,-75.593151,52.748826,pegmatite
242679,SB-5163,18,518385,5943650,Cartographique,Sulfures,Ponctuelle,"Pegmatite blanche à GR contenant 10 % de molybdénite dans des fractures et jusqu'à 20 % de molybdénite dans des veines de QZ. Un échantillon a donné 4,7 % Mo, 0,73 % Bi et 6 g/t Ag.",,,,"White garnet-bearing pegmatite with 10% molybdenite in fractures and up to 20% molybdenite in quartz veins. One sample yielded grades of 4.7% Mo, 0.73% Bi, and 6 g/t Ag.",,,,Daniel Bandyayera Pénélope Burniaux,Cartographie - Région de la Baie Gavaudan et du lac Brune,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20091124,242679,,2009050969,Roches,Molybdène,0,O,47440,ppm,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,1,Molybdénite,,O,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2009-07,PRO 2009-08,,-74.72191,53.641303,pegmatite
242759,Robs,19,586057,5673956,Cartographique,Terres rares,Ponctuelle,"Dyke de pegmatite blanchâtre, discordant, d'environ 50 cm (1545 ppm TR totales)",,,,"Gray-black porphyritic granite, garnet, locally with rapakivi texture, little fractured, large volume.",,,,Abdelali Moukhsil Pierre Lacoste,Cartographie - Région du lac du Milieu,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20101123,242759,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2010-05,PRO 2010-06,,-67.767982,51.21051,pegmatite
242760,Sév,19,599463,5657197,Cartographique,Terres rares,Ponctuelle,Mobilisat granitique de teinte blanchâtre (1614 ppm TR totales),,,,"White pegmatite dyke, discordant, about 50 cm (1545 ppm total REE).",,,,Abdelali Moukhsil Pierre Lacoste,Cartographie - Région du lac du Milieu,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20101123,242760,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2010-05,PRO 2010-06,,-67.580744,51.057677,pegmatite
242761,Arthur Est,19,606088,5625623,Cartographique,Terres rares,Ponctuelle,Amas et dykes de pegmatite granitique de teinte rose contenant de l'allanite (1396 ppm TR totales),,,,Masses and dykes of pink granitic pegmatite containing allanite (1396 ppm total REE).,,,,Abdelali Moukhsil Pierre Lacoste,Cartographie - Région du lac du Milieu,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20101123,242761,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2010-05,PRO 2010-06,,-67.495426,50.772656,pegmatite
242871,10-SB-6006,18,549279,5941917,Cartographique,Affleurement,Ponctuelle,"Potentiel de minéralisation en U et Th associé à pegmatite blanche ayant donné 4600 cps au scintillomètre. Le spectromètre donne 2,2% K, 89,9 ppm eqU et 125,7 ppm eqTh.",,,,"U and Th mineralization potential associated with a white pegmatite which scintillometer reading of 4600 cps. Spectrometer indicates 2.2% K, 89.9 ppm and 125.7 ppm eqTh.",,,,Daniel BandyayeraPénélope Burniaux,"Cartographie - Secteur est du réservoirLa Grande-3, Baie-James",Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20101123,242871,,0,,Uranium,0,O,89.9000015,ppm,0,,Thorium,0,O,125.6999969,ppm,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2010-05,PRO 2010-06,,-74.254914,53.62373,pegmatite
243767,Jonas,19,584018,5463155,Cartographique,Minéral,Ponctuelle,"Dyke de pegmatite (1 m d'épaisseur, 2025 cps; 207 ppm U, 99 ppm Th).",,,,"1-m-wide pegmatite dyke (2025 cps; 207 ppm U, 99 ppm Th).",,,,Abdelali Moukhsil Pierre Lacoste Fabien Solgadi,Cartographie - Baie Trinité,Cartographie,,0,0,0,0,0,,,0,0,0,0,CARTOPT,20091124,243767,,2009050318,Roches,Uranium,0,O,207.1999969,ppm,2009050318,Roches,Thorium,0,O,98.8000031,ppm,0,,,0,,0,,0,,,0,,0,,0,,,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,PRO 2009-07,PRO 2009-08,,-67.843984,49.315346,pegmatite
