FUS_UTM,ESTN,NORD,NOM_MINE,STAT_MINE,FEUILLET,PROMOTEUR,CODE_SUB1,CATG_SUB1,SUB_PRIN1,CODE_SUB2,CATG_SUB2,SUB_PRIN2,CODE_SUB3,CATG_SUB3,SUB_PRIN3,CODE_SUB4,CATG_SUB4,SUB_PRIN4,CODE_SUB5,CATG_SUB5,SUB_PRIN5,CODE_SUB6,CATG_SUB6,SUB_PRIN6,CODE_SUB7,CATG_SUB7,SUB_PRIN7,CODE_SUB8,CATG_SUB8,SUB_PRIN8,CODE_SUB9,CATG_SUB9,SUB_PRIN9,CODE_SUB10,CATG_SUB10,SUB_PRIN10,PLAN_NORD,CODE_SYMBL,TYPE_EXPLO,NOM_MINE_A,Coord_X,Coord_Y
18,302397,5377853,Abcourt-Barvue,3,32C12,Mines Abcourt inc.,Zn,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,,,,N,MVZn,SCO,,-77.676254,48.522659
18,417250,5483250,Lac Bachelor,4,32F08,Ressources Bonterra inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MNAu,S,,-76.14276,49.496237
17,623490,5492346,Casa Berardi,1,32E11,Orezone Gold Corp.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MAAu,SCO,,-79.292,49.571094
18,331992,5320038,Chimo,3,32C03,Ressources Cartier inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVAu,S,,-77.252816,48.011536
18,509705,5515128,Opémiska,3,32G15,XXIX Metal Corp,Cu,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Au,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,O,MVCu,CO,,-74.865173,49.788533
18,554584,5510239,Complexe Corner Bay,3,32G09,Cygnus Metals Limited,Cu,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Au,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,O,MVCu,S,,-74.242407,49.742161
18,661099,5481851,Crevier,3,32H07,Les métaux Niobay inc.,Nb2O5,ME Minéraux métalliques,O,Ta2O5,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,,,,O,MVNb,CO,,-72.776476,49.467922
18,349777,5330518,Croinor Gold,3,32C03,Fresnillo plc,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MVAu,S,,-77.018181,48.110195
19,605246,6107054,Goodwood,1,23O03,Tata Steel Minerals Canada Ltd.,Fe,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MAFe,CO,,-67.350579,55.09903
18,426508,5839334,Éléonore,1,33C09,Dhilmar Canada Inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MAAu,S,,-76.087559,52.698924
17,654411,5494904,Estrades,3,32E10,Galway Metals Inc.,Zn,ME Minéraux métalliques,O,Ag,ME Minéraux métalliques,N,Au,ME Minéraux métalliques,N,Cu,ME Minéraux métalliques,N,Pb,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,O,MVZn,S,,-78.863607,49.586987
19,612596,5800827,Fire Lake,1,23B06,ArcelorMittal Exploitation minière Canada s.e.n.c.,Fe,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MAFe,CO,,-67.347029,52.346166
18,689233,5855457,Renard,4,33A16,Les Diamants Stornoway (Canada) inc.,DD,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MNDD,SCO,,-72.191916,52.815631
18,283202,5446302,Géant Dormant,2,32F04,Mines Abcourt inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,DEAu,S,,-77.972057,49.131266
18,286068,5330583,Complexe Goldex,1,32C04,Mines Agnico Eagle ltée,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MAAu,SCO,,-77.873166,48.092573
18,282850,5333852,Kiena,1,32C04,Mines d'Or Wesdome inc.,Au,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MAAu,S,,-77.917991,48.120858
19,617394,5854078,Lac Bloom,1,23B14,Minerai de Fer Québec inc.,Fe,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MAFe,CO,,-67.25775,52.823671
18,459171,5135967,Lac-des-Îles,1,31J05,Northern Graphite Corporation,GP,MI Minéraux industriels,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,MAGP,CO,,-75.530895,46.376045
19,543645,6202429,Lac Otelnuk,3,23N16,MetalQuest Mining,Fe,ME Minéraux métalliques,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,MVFe,CO,,-68.300821,55.965217
20,470528,5600515,Lac Tio,1,12L11,Rio Tinto Fer et Titane inc.,TiO2,ME Minéraux métalliques,O,Fe,ME Minéraux métalliques,N,Sc,ME Minéraux métalliques,N,,,,,,,,,,,,,,,,,,,,,,O,MATi,CO,,-63.416052,50.555821
