id,NUMR_GITE,NOM_GITE,NUMR_CORPS,NOM_CORPS,IDNT_CORPS,CODE_ETAT,ETAT_CORPS,FUS_UTM,ESTN,NORD,NUMR_SNRC,DECV_AN,SUBST_PRIN,SUBST_P2,SUBST_P3,SUBST_P4,SUBST_P5,SUBST_P6,SUBST_P7,SUBST_P8,SUBST_P9,SUBST_P10,SUBST_P11,SUBST_P12,SUBST_SECN,SUBST_S2,SUBST_S3,SUBST_S4,SUBST_S5,SUBST_S6,SUBST_S7,SUBST_S8,SUBST_S9,SUBST_S10,SUBST_S11,SUBST_S12,CODE_TYPL,TYPL,CODE_LIT1,ROCHE_LIT1,CODE_LIT2,ROCHE_LIT2,CODE_LIT3,ROCHE_LIT3,CODE_LIT4,ROCHE_LIT4,CODE_LIT5,ROCHE_LIT5,CODE_LIT6,ROCHE_LIT6,CODE_LIT7,ROCHE_LIT7,CODE_LIT8,ROCHE_LIT8,MINR1,MINR2,MINR3,MINR4,MINR5,MINR6,MINR7,MINR8,MINR9,MINR10,MINR11,MINR12,MINR13,MINR14,MINR15,MINR16,MINR17,MINR18,MINR19,MINR20,MINR21,MINR22,MINR23,MINR24,MINR25,CODE_FORM,DESCR_FORM,CODE_DIST,DESCR_DIST,CODE_IMPR,DESCR_IMPR,CODE_TYPE,DESCR_TYPE,RESS_ESTIM,LIEN_FICHE,CODE_SYMBL,Coord_X,Coord_Y
0,63,Lac Bellamant-Sud,1,Lac Bellamant-Sud,1,I,"Indice, aucun travail",18,678365,6071725,33I16,1977,Th,,,,,,,,,,,,U,,,,,,,,,,,,9999,Minéralisation de type indéterminé,M22,,,,,,,,,,,,,,,,MR,,,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,MJ,Majeur,T,Dans fracture,N,,GMTH_I,-72.227765,54.761029
0,64,Inex,2,Inex,1,P,Indice travaillé,18,437380,5844490,33B12,2005,Au,,,,,,,,,,,,,,,,,,,,,,,,1540,"Minéralisation aurifère, disséminée et en remplacement",M4,,M4,,,,,,,,,,,,,,GR,CV,PO,CP,PY,Au,AS,SP,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,MJ,Majeur,F,Dans faille ou cisaillement,N,,GMAU_P,-75.927679,52.746636
0,65,Éch. 130656,3,Éch. 130656,1,I,"Indice, aucun travail",18,446596,5827624,33B12,2005,Mo,Bi,Au,,,,,,,,,,,,,,,,,,,,,,9999,Minéralisation de type indéterminé,I1G,,M4,,,,,,,,,,,,,,TL,MO,,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,MJ,Majeur,F,Dans faille ou cisaillement,N,,GMMO_I,-75.788431,52.596015
0,66,RS,4,RS,1,I,"Indice, aucun travail",18,464245,5819467,33B12,2006,Au,W,,,,,,,,,,,,,,,,,,,,,,,1540,"Minéralisation aurifère, disséminée et en remplacement",M4,,I1N,,,,,,,,,,,,,,AM,GR,PO,Au,AS,LG,,,,,,,,,,,,,,,,,,,,IN,Inconnue,S,Semi-massive,IN,Indéterminé,P,Dans pli,N,,GMAU_I,-75.527005,52.524134
0,67,Éch. 5519720,5,Éch. 5519720,1,I,"Indice, aucun travail",18,457761,5839661,33B12,2007,U,Th,ETR,Zr,,,,,,,,,,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M4,,,,,,,,,,,,,,BO,QZ,AL,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,N,Inconnue,IN,Indéterminé,L,Inscrit dans lithologie,N,,GMU_I,-75.62515,52.705204
0,68,Éch. 5519725,6,Éch. 5519725,1,I,"Indice, aucun travail",18,464372,5844181,33B12,2007,U,,,,,,,,,,,,,,,,,,,,,,,,1320,Filon uranifère associé aux granitoïdes,I1A,,I1A,,,,,,,,,,,,,,MR,MO,,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,N,Inconnue,IN,Indéterminé,I,Indéterminé,N,,GMU_I,-75.5278,52.746312
0,69,Manuel,7,Manuel,1,P,Indice travaillé,18,454657,5832556,33B12,2006,Au,W,,,,,,,,,,,,,,,,,,,,,,,1540,"Minéralisation aurifère, disséminée et en remplacement",M4,,M4,,M21,,I1G,,,,,,,,,,PY,PO,AS,CP,GR,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,MJ,Majeur,P,Dans pli,N,,GMAU_P,-75.670109,52.641083
0,70,Éch. 238457,8,Éch. 238457,1,I,"Indice, aucun travail",18,440971,5843884,33B12,2006,Au,,,,,,,,,,,,,,,,,,,,,,,,1540,"Minéralisation aurifère, disséminée et en remplacement",M4,,M4,,,,,,,,,,,,,,PY,,,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,IN,Indéterminé,I,Indéterminé,N,,GMAU_I,-75.874379,52.741593
0,71,Claude,9,Claude,1,P,Indice travaillé,18,447080,5828245,33B12,2005,Au,,,,,,,,,,,,,,,,,,,,,,,,1540,"Minéralisation aurifère, disséminée et en remplacement",M4,,I1G,,,,,,,,,,,,,,CB,MO,PO,PY,AS,,,,,,,,,,,,,,,,,,,,,TI,Tabulaire irrégulier,A,Disséminée à massive,MJ,Majeur,F,Dans faille ou cisaillement,N,,GMAU_P,-75.781385,52.601645
0,72,Marchand,10,Marchand,1,P,Indice travaillé,18,458078,5836946,33B12,2007,Au,,,,,,,,,,,,,,,,,,,,,,,,1540,"Minéralisation aurifère, disséminée et en remplacement",M15,,M20,,,,,,,,,,,,,,CB,PY,PO,CP,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,A,Disséminée à massive,MJ,Majeur,O,Stratification (gîte concordant à la),N,,GMAU_P,-75.620112,52.680822
0,73,Major,11,Major,1,I,"Indice, aucun travail",18,457619,5833923,33B12,2008,U,Th,Zr,,,,,,,,,,Cs,Ba,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M20,,,,,,,,,,,,,,UP,MR,,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,IN,Indéterminé,I,Indéterminé,N,,GMU_I,-75.626513,52.653611
0,74,JT,12,JT,1,P,Indice travaillé,18,435311,5830198,33B12,2005,Au,W,,,,,,,,,,,,,,,,,,,,,,,1540,"Minéralisation aurifère, disséminée et en remplacement",M4,,I1G,,R1,,,,,,,,,,,,PO,AS,CP,PY,Au,SW,,,,,,,,,,,,,,,,,,,,AI,Amas irrégulier,D,Disséminée,MJ,Majeur,O,Stratification (gîte concordant à la),N,,GMAU_P,-75.955518,52.617926
0,75,Dominique,13,Dominique,1,P,Indice travaillé,18,450394,5832235,33B12,2006,Au,W,,,,,,,,,,,Cu,,,,,,,,,,,,1520,"Veine aurifère mésothermale, à gangue de quartz et de carbonates",M4,,I1G,,,,,,,,,,,,,,PY,PO,,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,D,Disséminée,IN,Indéterminé,O,Stratification (gîte concordant à la),N,,GMAU_P,-75.733056,52.637825
0,76,Potel,14,Potel,1,I,"Indice, aucun travail",20,339403,6073476,23I14,2009,V,,,,,,,,,,,,Fe,Ti,,,,,,,,,,,2600,Minéralisation de fer et titane dans des intrusions mafiques,I3Q,,I3Q,,,,,,,,,,,,,,CX,PG,HB,OX,GR,MG,IM,HM,LM,,,,,,,,,,,,,,,,,TR,Tabulaire régulier,A,Disséminée à massive,MI,Mineur,L,Inscrit dans lithologie,N,,GMV_I,-65.497353,54.782744
