id,NUMR_GITE,NOM_GITE,NUMR_CORPS,NOM_CORPS,IDNT_CORPS,CODE_ETAT,ETAT_CORPS,FUS_UTM,ESTN,NORD,NUMR_SNRC,DECV_AN,SUBST_PRIN,SUBST_P2,SUBST_P3,SUBST_P4,SUBST_P5,SUBST_P6,SUBST_P7,SUBST_P8,SUBST_P9,SUBST_P10,SUBST_P11,SUBST_P12,SUBST_SECN,SUBST_S2,SUBST_S3,SUBST_S4,SUBST_S5,SUBST_S6,SUBST_S7,SUBST_S8,SUBST_S9,SUBST_S10,SUBST_S11,SUBST_S12,CODE_TYPL,TYPL,CODE_LIT1,ROCHE_LIT1,CODE_LIT2,ROCHE_LIT2,CODE_LIT3,ROCHE_LIT3,CODE_LIT4,ROCHE_LIT4,CODE_LIT5,ROCHE_LIT5,CODE_LIT6,ROCHE_LIT6,CODE_LIT7,ROCHE_LIT7,CODE_LIT8,ROCHE_LIT8,MINR1,MINR2,MINR3,MINR4,MINR5,MINR6,MINR7,MINR8,MINR9,MINR10,MINR11,MINR12,MINR13,MINR14,MINR15,MINR16,MINR17,MINR18,MINR19,MINR20,MINR21,MINR22,MINR23,MINR24,MINR25,CODE_FORM,DESCR_FORM,CODE_DIST,DESCR_DIST,CODE_IMPR,DESCR_IMPR,CODE_TYPE,DESCR_TYPE,RESS_ESTIM,LIEN_FICHE,CODE_SYMBL,Coord_X,Coord_Y,SCORE_POTENTIEL,CLASSE_POTENTIEL,PROJET_PLUS_PROCHE,DISTANCE_PROJET_KM,COMMENTAIRE_SCORE,CIBLE_PLUS_PROCHE,TYPE_CIBLE,NATURE_CIBLE,MOTS_CLES_CIBLE,DISTANCE_CIBLE_KM,CLASSE_DISTANCE_CIBLE
0,12741,Adina Main (Jamar),66999,Adina Main (Jamar),1,G,Gîte,18,668561,5908833,33H08,2022,Li,,,,,,,,,,,,Be,Cs,Sn,Ga,Bi,Nb,Ta,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M16,,I1,,,,,,,,,,,,SO,BL,GR,AP,LP,HK,TL,PY,,,,,,,,,,,,,,,,,,L,Lenticulaire,A,Disséminée à massive,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=66999,GMLI_G,-72.470392,53.301841,14,Potentiel fort,Adina,0.55,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta, Cs, Be, Nb | Très proche d’un projet lithium connu",(6) Adina (14-AB-6048A),Cartographique,Minéral,"lithium, pegmatite, spodumène, spodumene, tantale, niobium",1.01,Très proche d'une cible
0,12758,CV13,67016,CV13,1,G,Gîte,18,564974,5927822,33G08,2022,Li,Ta,,,,,,,,,,,Cs,Be,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M16,,,,,,,,,,,,,,SO,,,,,,,,,,,,,,,,,,,,,,,,,IN,Inconnue,N,Inconnue,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=67016,GMLI_G,-74.020574,53.495342,14,Potentiel fort,Shaakichiuwaanaan,6.11,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta, Cs, Be | Très proche d’un projet lithium connu",10-SB-6326,Cartographique,Sulfures,pegmatite,11.85,Très proche d'une cible
0,12303,CV5,58784,CV 5 : CV6,2,G,Gîte,18,569811,5930528,33H12,2019,Li,Ta,,,,,,,,,,,,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,,,,,,,,,,,,,,,SO,,,,,,,,,,,,,,,,,,,,,,,,,T,Tabulaire,A,Disséminée à massive,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=58784,GMLI_G,-73.947071,53.519042,14,Potentiel fort,Shaakichiuwaanaan,0.6,Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta | Très proche d’un projet lithium connu,10-SB-6326,Cartographique,Sulfures,pegmatite,15.09,Très proche d'une cible
0,12303,CV5,58779,CV5 : CV5,1,G,Gîte,18,570393,5930685,33H12,2019,Li,Ta,Be,Cs,Nb,,,,,,,,,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M16,,,,,,,,,,,,,,SO,,,,,,,,,,,,,,,,,,,,,,,,,LI,Lenticulaire irrégulier,D,Disséminée,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=58779,GMLI_G,-73.938259,53.520375,14,Potentiel fort,Shaakichiuwaanaan,0.0,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta, Cs, Be, Nb | Très proche d’un projet lithium connu",10-SB-6326,Cartographique,Sulfures,pegmatite,15.6,Très proche d'une cible
0,12303,CV5,67193,CV5 : CV1,3,G,Gîte,18,571478,5931127,33H12,2017,Li,Ta,Be,,,,,,,,,,,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M16,,,,,,,,,,,,,,SO,MI,TL,FK,,,,,,,,,,,,,,,,,,,,,,T,Tabulaire,A,Disséminée à massive,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=67193,GMLI_G,-73.921796,53.524201,14,Potentiel fort,Shaakichiuwaanaan,1.17,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta, Be | Très proche d’un projet lithium connu",10-SB-6326,Cartographique,Sulfures,pegmatite,16.55,Très proche d'une cible
0,219,Cyr-Lithium (James Bay Lithium),157,Cyr-Lithium (James Bay Lithium),1,G,Gîte,18,358327,5789440,33C03,1964,Li,Ta,,,,,,,,,,,Be,Au,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,M8,,I1B,,,,,,,,,,,,PY,SO,AL,MV,AS,,,,,,,,,,,,,,,,,,,,,TR,Tabulaire régulier,A,Disséminée à massive,IN,Indéterminé,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=157,GMLI_G,-77.074776,52.237119,14,Potentiel fort,Galaxy,0.62,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta, Be | Très proche d’un projet lithium connu",Béryl,Cartographique,Minéral,pegmatite,38.11,Proche d'une cible
0,650,Rose,608,Rose,1,G,Gîte,18,419628,5763398,33C01,1961,Li,Be,Ta,,,,,,,,,,Rb,Cs,Ga,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,I3A,,I1F,,I1N,,,,,,,,,,SO,LP,,,,,,,,,,,,,,,,,,,,,,,,TR,Tabulaire régulier,D,Disséminée,IN,Indéterminé,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=608,GMLI_G,-76.171162,52.015395,14,Potentiel fort,Rose Lithium-Tantale,0.0,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta, Cs, Be, Rb | Très proche d’un projet lithium connu",FS-3292,Cartographique,Minéral,pegmatite,68.27,Dans un rayon de 100 km
0,11351,Whabouchi,31036,Whabouchi,1,G,Gîte,18,440964,5725788,32O12,1962,Li,Be,,,,,,,,,,,,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,V3B,,I3A,,M1,,M4,,,,,,,,SO,AB,MV,QZ,ML,AP,GR,BL,PQ,FP,,,,,,,,,,,,,,,,LI,Lenticulaire irrégulier,D,Disséminée,MJ,Majeur,V,Veine,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=31036,GMLI_G,-75.853881,51.679955,14,Potentiel fort,Whabouchi,0.05,Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Be | Très proche d’un projet lithium connu,FS-3292,Cartographique,Minéral,pegmatite,103.33,Éloigné des cibles
0,2405,Authier,1526,Authier,1,G,Gîte,17,707562,5360250,32D08,1967,Li,,,,,,,,,,,,Be,Mo,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,R1,,I1G,,I4I,,,,,,,,,,,,HB,SO,BL,FP,QZ,MV,BO,MO,,,,,,,,,,,,,,,,,,LR,Lenticulaire régulier,U,Veinule,MJ,Majeur,L,Inscrit dans lithologie,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=1526,GMLI_G,-78.19775,48.36127,14,Potentiel fort,Authier,1.39,Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Be | Très proche d’un projet lithium connu,Indice Kekek (15-AM-200B),Cartographique,Échan. roche,pegmatite,170.54,Éloigné des cibles
0,255,Lac Moblan Ouest,194,Lac Moblan Ouest,1,G,Gîte,18,506516,5620130,32J10,1963,Li,Be,Ta,Nb,,,,,,,,,,,,,,,,,,,,,2100,Minéralisation associée aux pegmatites granitiques,I1G,,I3A,,,,,,,,,,,,,,AB,SO,GR,LP,BL,FL,EP,QZ,FK,MV,TO,PY,,,,,,,,,,,,,,LI,Lenticulaire irrégulier,I,Irrégulière,MO,Modéré,T,Dans fracture,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=F&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=194,GMLI_G,-74.907668,50.732926,14,Potentiel fort,Moblan,0.32,"Code GMLI | Lithium en substance principale | Typologie pegmatitique | Ressource estimée | Gîte | Substances associées : Ta, Be, Nb | Très proche d’un projet lithium connu",PR-6073,Cartographique,Minéral,pegmatite,219.24,Éloigné des cibles
